func;3;21;2;8294198142;8294198142
func;3;22;2;8162600132;8162600132
func;3;23;2;8173513351;8173513351
func;3;24;2;8100810244;8100810244
func;3;25;2;8280956354;8280956354
func;3;26;2;8309647995;8309647995
func;3;27;2;8095063492;8095063492
func;3;28;2;8120951525;8120951525
func;3;29;2;8255718539;8255718539
func;3;30;2;8147044671;8147044671
func;3;31;2;8131215287;8131215287
func;3;32;2;8068766120;8068766120
func;7;2;3966;6503315786;313469222780
func;7;3;3522;6140623215;304511048657
func;7;4;3597;7454516282;304497161886
func;7;5;4050;5646430974;311887977479
func;7;6;4053;5968246207;306889538706
func;7;7;3600;7949106213;331568060956
func;7;8;3150;6249140296;337995542766
func;7;9;3627;7089400043;309207284783
func;7;10;3600;7027376615;326785454273
func;7;11;3600;5978641878;307173630363
func;7;12;3600;6875639134;310963993631
func;7;13;3600;6898962221;315226014980
func;7;14;3600;6251950359;308889043269
func;7;15;3600;6025865033;322496936956
func;7;16;3600;7249736808;328302750580
func;7;17;4500;6349226215;309385609012
func;7;18;4053;5674087677;300917128738
func;7;19;3600;6088866471;313420915182
func;7;20;3600;6959156034;317369214598
func;7;21;3651;6974474737;308732793976
func;7;22;3600;7066858749;324021701303
func;7;23;3600;6364735899;322205271798
func;7;24;3600;7264436005;329561517893
func;7;25;3606;7135553719;307515869170
func;7;26;3594;7237021147;333020924076
func;7;27;3600;7204170650;331492114647
func;7;28;3600;5977243824;327374755330
func;7;29;4500;6311871907;306140565424
func;7;30;4131;5795187532;296073832267
func;7;31;3600;6499333752;325787623153
func;7;32;3600;7163189307;332626846662
func;11;1;14;345381;345381
func;11;2;14;217541;217541
func;11;3;14;355718;355718
func;11;4;14;216275;216275
func;11;5;14;351236;351236
func;11;6;14;208373;208373
func;11;7;14;338769;338769
func;11;8;14;236597;236597
func;11;9;14;342173;342173
func;11;10;14;206777;206777
func;11;11;14;349597;349597
func;11;12;14;214453;214453
func;11;13;14;321662;321662
func;11;14;14;207993;207993
func;11;15;14;358650;358650
func;11;16;14;205676;205676
func;11;17;14;344475;344475
func;11;18;14;213749;213749
func;11;19;14;359734;359734
func;11;20;14;248624;248624
func;11;21;14;340878;340878
func;11;22;14;238317;238317
func;11;23;14;342129;342129
func;11;24;14;202062;202062
func;11;25;14;332565;332565
func;11;26;14;225975;225975
func;11;27;14;325031;325031
func;11;28;14;213703;213703
func;11;29;14;339652;339652
func;11;30;14;216869;216869
func;11;31;14;342138;342138
func;11;32;14;212905;212905
func;13;1;195;99373749;99373749
func;13;2;19;263294;263294
func;13;3;19;305122;305122
func;13;4;20;396252;396252
func;13;5;19;299716;299716
func;13;6;20;361989;361989
func;13;7;20;263443;263443
func;13;8;20;360213;360213
func;13;9;19;241573;241573
func;13;10;20;278866;278866
func;13;11;20;254059;254059
func;13;12;20;342972;342972
func;13;13;20;309728;309728
func;13;14;20;294042;294042
func;13;15;20;288012;288012
func;13;16;20;284721;284721
func;13;17;19;373120;373120
func;13;18;20;339106;339106
func;13;19;20;277693;277693
func;13;20;20;296009;296009
func;13;21;20;317693;317693
func;13;22;20;275306;275306
func;13;23;20;281621;281621
func;13;24;20;277665;277665
func;13;25;20;253612;253612
func;13;26;20;299846;299846
func;13;27;20;385694;385694
func;13;28;20;285582;285582
func;13;29;20;468463;468463
func;13;30;20;355141;355141
func;13;31;20;266645;266645
func;13;32;19;272401;272401
func;17;1;10508;2279799909064;2279799909064
func;17;2;8;42049;42049
func;17;3;8;45391;45391
func;17;4;8;39656;39656
func;17;5;8;41439;41439
func;17;6;8;42373;42373
func;17;7;8;43444;43444
func;17;8;8;42101;42101
func;17;9;8;40843;40843
func;17;10;8;40493;40493
func;17;11;8;40908;40908
func;17;12;8;39666;39666
func;17;13;8;40633;40633
func;17;14;8;42814;42814
func;17;15;8;42851;42851
func;17;16;8;38237;38237
func;17;17;8;38586;38586
func;17;18;8;39645;39645
func;17;19;8;41447;41447
func;17;20;8;43394;43394
func;17;21;8;41347;41347
func;17;22;8;40588;40588
func;17;23;8;40262;40262
func;17;24;8;69596;69596
func;17;25;8;43798;43798
func;17;26;8;42945;42945
func;17;27;8;38310;38310
func;17;28;8;41722;41722
func;17;29;8;40790;40790
func;17;30;8;38579;38579
func;17;31;8;39838;39838
func;17;32;8;42173;42173
func;18;1;4;6657280;6657280
func;19;1;37092;222251613;222251613
func;19;2;17;103390;103390
func;19;3;1188;21509686;21509686
func;19;4;1217;31713851;31713851
func;19;5;1368;62257604;62257604
func;19;6;1370;21843117;21843117
func;19;7;1214;32858881;32858881
func;19;8;1068;35514800;35514800
func;19;9;1227;39106048;39106048
func;19;10;1221;23166533;23166533
func;19;11;1214;32811420;32811420
func;19;12;1218;22624584;22624584
func;19;13;1216;21705433;21705433
func;19;14;1220;39704126;39704126
func;19;15;1215;19163821;19163821
func;19;16;1219;38387534;38387534
func;19;17;1515;25499558;25499558
func;19;18;1371;67121790;67121790
func;19;19;1215;19138614;19138614
func;19;20;1219;35764089;35764089
func;19;21;1233;21540248;21540248
func;19;22;1221;35897051;35897051
func;19;23;1215;20100930;20100930
func;19;24;1220;37685287;37685287
func;19;25;1218;22873480;22873480
func;19;26;1218;36479694;36479694
func;19;27;1216;22383815;22383815
func;19;28;1219;36754205;36754205
func;19;29;1516;26006901;26006901
func;19;30;1397;67192684;67192684
func;19;31;1213;20265930;20265930
func;19;32;1220;41056022;41056022
func;20;1;41589;510874174;510874174
func;20;2;9;337022;337022
func;20;3;1185;80201483;80201483
func;20;4;1208;91234513;91234513
func;20;5;1361;168662624;168662624
func;20;6;1360;84236038;84236038
func;20;7;1211;113961783;113961783
func;20;8;1059;104149115;104149115
func;20;9;1220;97757752;97757752
func;20;10;1209;82813050;82813050
func;20;11;1211;85667493;85667493
func;20;12;1209;73734749;73734749
func;20;13;1211;80252746;80252746
func;20;14;1209;83942324;83942324
func;20;15;1211;74600169;74600169
func;20;16;1209;99928305;99928305
func;20;17;1511;91718764;91718764
func;20;18;1360;152533431;152533431
func;20;19;1211;73219256;73219256
func;20;20;1209;99073430;99073430
func;20;21;1228;87392865;87392865
func;20;22;1209;100012483;100012483
func;20;23;1211;73991256;73991256
func;20;24;1209;96718813;96718813
func;20;25;1213;86515625;86515625
func;20;26;1207;99625321;99625321
func;20;27;1211;76900711;76900711
func;20;28;1209;81804412;81804412
func;20;29;1511;93906191;93906191
func;20;30;1386;155738627;155738627
func;20;31;1211;79369734;79369734
func;20;32;1209;102297382;102297382
func;24;1;81;29683303;29683303
func;24;2;81;28941046;28941046
func;24;3;81;37707346;37707346
func;24;4;81;33374594;33374594
func;24;5;81;27990044;27990044
func;24;6;81;29053224;29053224
func;24;7;81;35853821;35853821
func;24;8;81;25160143;25160143
func;24;9;81;17794156;17794156
func;24;10;81;29938515;29938515
