;;;;;
Function;FunctionGroup;Process;Invocation;Exclusive Time;Inclusive Time
rewind;LIBC-I/O;Process 31;2;0.000006;0.000006
fread;LIBC-I/O;Process 0;2;0.000021;0.000021
fread;LIBC-I/O;Process 1;2;0.000025;0.000025
fread;LIBC-I/O;Process 2;2;0.000071;0.000071
fread;LIBC-I/O;Process 3;2;0.000021;0.000021
fread;LIBC-I/O;Process 4;2;0.000021;0.000021
fread;LIBC-I/O;Process 5;2;0.000023;0.000023
fread;LIBC-I/O;Process 6;2;0.000023;0.000023
fread;LIBC-I/O;Process 7;2;0.000022;0.000022
fread;LIBC-I/O;Process 8;2;0.000021;0.000021
fread;LIBC-I/O;Process 9;2;0.000023;0.000023
fread;LIBC-I/O;Process 10;2;0.000023;0.000023
fread;LIBC-I/O;Process 11;2;0.000022;0.000022
fread;LIBC-I/O;Process 12;2;0.000024;0.000024
fread;LIBC-I/O;Process 13;2;0.000023;0.000023
fread;LIBC-I/O;Process 14;2;0.000025;0.000025
fread;LIBC-I/O;Process 15;2;0.000018;0.000018
fread;LIBC-I/O;Process 16;2;0.000022;0.000022
fread;LIBC-I/O;Process 17;2;0.000018;0.000018
fread;LIBC-I/O;Process 18;2;0.000021;0.000021
fread;LIBC-I/O;Process 19;2;0.000020;0.000020
fread;LIBC-I/O;Process 20;2;0.000021;0.000021
fread;LIBC-I/O;Process 21;2;0.000023;0.000023
fread;LIBC-I/O;Process 22;2;0.000020;0.000020
fread;LIBC-I/O;Process 23;2;0.000020;0.000020
fread;LIBC-I/O;Process 24;2;0.000019;0.000019
fread;LIBC-I/O;Process 25;2;0.000021;0.000021
fread;LIBC-I/O;Process 26;2;0.000018;0.000018
fread;LIBC-I/O;Process 27;2;0.000021;0.000021
fread;LIBC-I/O;Process 28;2;0.000021;0.000021
fread;LIBC-I/O;Process 29;2;0.000018;0.000018
fread;LIBC-I/O;Process 30;2;0.000018;0.000018
fread;LIBC-I/O;Process 31;2;0.000024;0.000024
fgets;LIBC-I/O;Process 0;1702;0.005575;0.005575
fgets;LIBC-I/O;Process 1;1702;0.006166;0.006166
fgets;LIBC-I/O;Process 2;1702;0.001288;0.001288
fgets;LIBC-I/O;Process 3;1702;0.001183;0.001183
fgets;LIBC-I/O;Process 4;1702;0.001867;0.001867
fgets;LIBC-I/O;Process 5;1702;0.001284;0.001284
fgets;LIBC-I/O;Process 6;1702;0.001233;0.001233
fgets;LIBC-I/O;Process 7;1702;0.001186;0.001186
fgets;LIBC-I/O;Process 8;1702;0.001561;0.001561
fgets;LIBC-I/O;Process 9;1702;0.001194;0.001194
fgets;LIBC-I/O;Process 10;1702;0.001509;0.001509
fgets;LIBC-I/O;Process 11;1702;0.001188;0.001188
fgets;LIBC-I/O;Process 12;1702;0.001182;0.001182
fgets;LIBC-I/O;Process 13;1702;0.001193;0.001193
fgets;LIBC-I/O;Process 14;1702;0.001185;0.001185
fgets;LIBC-I/O;Process 15;1702;0.001147;0.001147
fgets;LIBC-I/O;Process 16;1702;0.001157;0.001157
fgets;LIBC-I/O;Process 17;1702;0.001141;0.001141
fgets;LIBC-I/O;Process 18;1702;0.001250;0.001250
fgets;LIBC-I/O;Process 19;1702;0.001209;0.001209
fgets;LIBC-I/O;Process 20;1702;0.001183;0.001183
fgets;LIBC-I/O;Process 21;1702;0.001251;0.001251
fgets;LIBC-I/O;Process 22;1702;0.001185;0.001185
fgets;LIBC-I/O;Process 23;1702;0.001115;0.001115
fgets;LIBC-I/O;Process 24;1702;0.001181;0.001181
fgets;LIBC-I/O;Process 25;1702;0.001754;0.001754
fgets;LIBC-I/O;Process 26;1702;0.001196;0.001196
fgets;LIBC-I/O;Process 27;1702;0.001156;0.001156
fgets;LIBC-I/O;Process 28;1702;0.001191;0.001191
fgets;LIBC-I/O;Process 29;1702;0.001186;0.001186
fgets;LIBC-I/O;Process 30;1702;0.002417;0.002417
fgets;LIBC-I/O;Process 31;1702;0.001189;0.001189
unlink;LIBC-I/O;Process 0;2;0.000044;0.000044
unlink;LIBC-I/O;Process 1;2;0.000052;0.000052
unlink;LIBC-I/O;Process 2;2;0.000084;0.000084
unlink;LIBC-I/O;Process 3;2;0.000042;0.000042
unlink;LIBC-I/O;Process 4;2;0.000021;0.000021
unlink;LIBC-I/O;Process 5;2;0.000047;0.000047
unlink;LIBC-I/O;Process 6;2;0.000050;0.000050
unlink;LIBC-I/O;Process 7;2;0.000045;0.000045
unlink;LIBC-I/O;Process 8;2;0.000054;0.000054
unlink;LIBC-I/O;Process 9;2;0.000039;0.000039
unlink;LIBC-I/O;Process 10;2;0.000052;0.000052
unlink;LIBC-I/O;Process 11;2;0.000037;0.000037
unlink;LIBC-I/O;Process 12;2;0.000043;0.000043
unlink;LIBC-I/O;Process 13;2;0.000053;0.000053
unlink;LIBC-I/O;Process 14;2;0.000037;0.000037
unlink;LIBC-I/O;Process 15;2;0.000051;0.000051
